date,open,high,low,close,volume
2022-10-04,25002.0,25002.0,25002.0,25002.0,0.0
2022-10-05,24865.0,24865.0,24865.0,24865.0,0.0
2022-10-06,24734.0,24734.0,24734.0,24734.0,0.0
2022-10-07,23995.0,23995.0,23995.0,23995.0,0.0
2022-10-10,23697.0,23697.0,23697.0,23697.0,0.0
2022-10-11,23358.0,23358.0,23358.0,23358.0,0.0
2022-10-12,23536.0,23536.0,23536.0,23536.0,0.0
2022-10-13,23685.0,23685.0,23685.0,23685.0,0.0
2022-10-14,23650.0,23650.0,23650.0,23650.0,0.0
2022-10-17,23834.0,23912.0,23834.0,23912.0,1.0
2022-10-18,23530.0,23530.0,23530.0,23530.0,0.0
2022-10-19,23524.0,23524.0,23524.0,23524.0,0.0
2022-10-20,23352.0,23352.0,23352.0,23352.0,0.0
2022-10-21,23691.0,23691.0,23691.0,23691.0,0.0
2022-10-24,23870.0,23870.0,23870.0,23870.0,0.0
2022-10-25,24895.0,24895.0,24895.0,24895.0,0.0
2022-10-26,25598.0,25598.0,25598.0,25598.0,0.0
2022-10-27,25455.0,25455.0,25455.0,25455.0,0.0
2022-10-28,24668.0,25437.0,24668.0,25437.0,1.0
2022-10-31,25127.0,25127.0,25127.0,25127.0,0.0
2022-11-01,25223.0,25223.0,25223.0,25223.0,0.0
2022-11-02,24996.0,24996.0,24996.0,24996.0,0.0
2022-11-03,24984.0,24984.0,24984.0,24984.0,0.0
2022-11-04,25979.0,25979.0,25979.0,25979.0,0.0
2022-11-07,25664.0,25664.0,25664.0,25664.0,0.0
2022-11-08,22422.0,22422.0,22422.0,22422.0,0.0
2022-11-09,21451.0,21451.0,19991.0,19991.0,1.0
2022-11-10,22303.0,22303.0,22303.0,22303.0,0.0
2022-11-14,20027.0,20027.0,20027.0,20027.0,0.0
2022-11-15,20736.0,20736.0,20736.0,20736.0,0.0
2022-11-16,20408.0,20408.0,20408.0,20408.0,0.0
2022-11-17,20551.0,20551.0,20551.0,20551.0,0.0
2022-11-18,20474.0,20474.0,20474.0,20474.0,0.0
2022-11-21,19431.0,19431.0,19431.0,19431.0,0.0
2022-11-22,19854.0,19854.0,19854.0,19854.0,0.0
2022-11-23,19854.0,20426.0,19854.0,20426.0,1.0
2022-11-24,20426.0,20426.0,20426.0,20426.0,0.0
2022-11-25,19955.0,19955.0,19955.0,19955.0,0.0
2022-11-28,19485.0,19657.0,19395.0,19657.0,5.0
2022-11-29,19389.0,19389.0,19389.0,19389.0,0.0
2022-11-30,20092.0,20092.0,20092.0,20092.0,0.0
2022-12-01,19890.0,19890.0,19890.0,19890.0,0.0
2022-12-02,20045.0,20045.0,20045.0,20045.0,0.0
2022-12-05,19919.0,19919.0,19919.0,19919.0,0.0
2022-12-06,19985.0,19985.0,19985.0,19985.0,0.0
2022-12-07,19794.0,19794.0,19794.0,19794.0,0.0
2022-12-08,20217.0,20217.0,20217.0,20217.0,0.0
